,state,county,candidate,party,total_votes,won,lat,lng,population,density
104,Georgia,Chattooga,Donald Trump,REP,8064,True,34.4788,-85.3491,4283.0,412.0
105,Georgia,Cherokee,Donald Trump,REP,99585,True,34.1026,-84.5091,32310.0,1000.0
106,Georgia,Clarke,Joe Biden,DEM,36055,True,33.9508,-83.3689,143081.0,414.0
107,Georgia,Clay,Joe Biden,DEM,791,True,31.6238,-85.0528,832.0,67.0
108,Georgia,Clayton,Joe Biden,DEM,95466,True,33.6209,-84.359,19884.0,824.0
109,Georgia,Clinch,Donald Trump,REP,2105,True,31.0385,-82.742,1938.0,214.0
110,Georgia,Cobb,Joe Biden,DEM,221847,True,33.9533,-84.5422,60687.0,999.0
111,Georgia,Coffee,Donald Trump,REP,10578,True,31.5065,-82.8544,11556.0,309.0
112,Georgia,Colquitt,Donald Trump,REP,11777,True,31.1591,-83.7708,14086.0,326.0
113,Georgia,Columbia,Donald Trump,REP,50013,True,33.5619,-82.1351,38443.0,587.0
114,Georgia,Cook,Donald Trump,REP,4900,True,31.1264,-83.4229,5297.0,226.0
115,Georgia,Coweta,Donald Trump,REP,51501,True,33.3767,-84.7761,40227.0,801.0
116,Georgia,Crawford,Donald Trump,REP,4428,True,32.7196,-84.0104,1099.0,284.0
117,Georgia,Crisp,Donald Trump,REP,4985,True,31.9563,-83.7694,10600.0,403.0
118,Georgia,Dade,Donald Trump,REP,6066,True,34.8741,-85.5096,2303.0,276.0
119,Georgia,Dawson,Donald Trump,REP,13398,True,34.4362,-84.125,3065.0,137.0
120,Georgia,Decatur,Donald Trump,REP,6755,True,30.9052,-84.5732,12200.0,238.0
121,Georgia,DeKalb,Joe Biden,DEM,308162,True,33.8743,-84.3314,54727.0,1808.0
122,Georgia,Dodge,Donald Trump,REP,5843,True,32.1973,-83.1714,5110.0,305.0
123,Georgia,Dooly,Donald Trump,REP,2159,True,32.0926,-83.7868,3610.0,251.0
124,Georgia,Dougherty,Joe Biden,DEM,24568,True,31.5776,-84.1762,89323.0,509.0
125,Georgia,Douglas,Joe Biden,DEM,42814,True,33.7384,-84.7054,33035.0,558.0
126,Georgia,Early,Donald Trump,REP,2710,True,31.3827,-84.9228,4605.0,101.0
127,Georgia,Echols,Donald Trump,REP,1256,True,,,,
128,Georgia,Effingham,Donald Trump,REP,23361,True,32.2947,-81.2353,10187.0,403.0
129,Georgia,Elbert,Donald Trump,REP,6226,True,34.1063,-82.8705,4342.0,369.0
130,Georgia,Emanuel,Donald Trump,REP,6553,True,32.5866,-82.3345,7418.0,227.0
131,Georgia,Evans,Donald Trump,REP,2888,True,32.1613,-81.9094,2641.0,586.0
132,Georgia,Fannin,Donald Trump,REP,12169,True,34.9811,-84.3706,1536.0,394.0
133,Georgia,Fayette,Donald Trump,REP,37956,True,33.3942,-84.571,35844.0,550.0
134,Georgia,Floyd,Donald Trump,REP,28906,True,34.2662,-85.1863,66998.0,445.0
135,Georgia,Forsyth,Donald Trump,REP,85123,True,34.2063,-84.1339,6528.0,350.0
136,Georgia,Franklin,Donald Trump,REP,9069,True,34.2861,-83.1106,3009.0,354.0
137,Georgia,Fulton,Joe Biden,DEM,380212,True,33.7628,-84.422,5151496.0,1419.0
138,Georgia,Gilmer,Donald Trump,REP,13429,True,34.6914,-84.4839,2036.0,221.0
139,Georgia,Glascock,Donald Trump,REP,1402,True,33.2334,-82.5959,904.0,340.0
140,Georgia,Glynn,Donald Trump,REP,25617,True,31.1449,-81.4746,16231.0,368.0
141,Georgia,Gordon,Donald Trump,REP,19405,True,34.491,-84.9386,17088.0,411.0
142,Georgia,Grady,Donald Trump,REP,7034,True,30.879,-84.205,9395.0,370.0
