state,county,Polarization Indicator,Mean,const
Florida,Brevard,3.7009020387301534,71.12,1
Florida,Broward,7.195623077371566,26.881,1
Florida,Citrus,7.076618827619134,72.92,1
Florida,Clay,5.3580158018928365,82.163,1
Florida,Collier,6.415760966016061,113.84,1
Florida,Dixie,11.200083056170444,36.132,1
Florida,Escambia,3.0491933939844458,28.472,1
Florida,Flagler,5.391326947051161,51.038,1
Florida,Gadsden,7.767453465154029,46.282,1
Florida,Hardee,7.670121852406859,38.331,1
Florida,Hernando,5.761226043974313,44.558,1
Florida,Hillsborough,2.429259458855348,66.412,1
Florida,Indian River,5.23261008802809,173.681,1
Florida,Jackson,7.270529971096059,50.403,1
Florida,Lake,4.6604720790924175,32.382,1
Florida,Lee,5.054722526250327,73.064,1
Florida,Levy,7.429952118397224,42.249,1
Florida,Liberty,10.123052428797871,50.123,1
Florida,Manatee,4.392199078181939,53.404,1
Florida,Miami-Dade,3.727764058164803,61.4,1
Florida,Nassau,6.2968654066982745,41.13,1
Florida,Okaloosa,4.4243145817961,89.321,1
Florida,Orange,4.626146360963294,43.567,1
Florida,Palm Beach,4.503240998123406,94.674,1
Florida,Pasco,4.2991040325043866,37.611,1
Florida,Pinellas,0.45268172015470126,43.415,1
Florida,Polk,3.698712614803179,44.47,1
Florida,Santa Rosa,5.07698373573581,75.337,1
Florida,Sarasota,3.6727728139919154,66.254,1
Florida,St. Johns,5.0785721272948186,103.246,1
Florida,St. Lucie,1.4977084911278085,40.362,1
Florida,Volusia,3.7698319931602544,54.528,1
Florida,Wakulla,6.482895414927952,38.309,1
Florida,Washington,8.5084799329393,34.261,1
Georgia,Appling,11.530153704285318,34.812,1
Georgia,Banks,9.630329342407935,43.231,1
Georgia,Barrow,4.962358310319802,51.433,1
Georgia,Bartow,6.0408736177493845,67.023,1
Georgia,Brooks,5.477225575051661,34.297,1
Georgia,Calhoun,5.32290647422377,45.609,1
Georgia,Carroll,5.286527066142065,50.473,1
Georgia,Cherokee,4.814214638619607,76.422,1
Georgia,Cobb,2.9584922669166707,63.423,1
Georgia,Dade,6.701234368090312,43.128,1
Georgia,DeKalb,7.70543074348959,94.627,1
Georgia,Decatur,4.735024239162303,56.399,1
Georgia,Dodge,8.096516005577426,40.022,1
Georgia,Dougherty,7.128572561361071,41.702,1
Georgia,Emanuel,7.4538987154781,43.133,1
Georgia,Evans,6.6847374133704225,59.343,1
Georgia,Floyd,5.726892464268672,48.404,1
Georgia,Franklin,8.51953779684348,50.011,1
Georgia,Fulton,6.200308791820295,51.837,1
Georgia,Greene,5.721561302325068,30.565,1
Georgia,Gwinnett,3.6646123327680824,98.846,1
Georgia,Habersham,7.507180470768613,52.078,1
Georgia,Hall,5.443954344951538,70.659,1
Georgia,Harris,6.420171699507949,53.882,1
Georgia,Hart,7.7142357989799715,46.956,1
Georgia,Henry,4.408185427750527,52.731,1
Georgia,Jackson,6.416198897030262,76.773,1
Georgia,Jeff Davis,8.740471001801524,46.844,1
Georgia,Jenkins,5.653696641515683,34.212,1
Georgia,Laurens,6.256216420684232,41.749,1
Georgia,Long,3.962986646191826,46.236,1
Georgia,Lowndes,3.1927706271950296,51.144,1
Georgia,Macon,6.990252954195317,27.855,1
Georgia,Mitchell,5.26363774902312,56.576,1
Georgia,Morgan,6.323259172086579,53.822,1
Georgia,Muscogee,4.485959133165713,55.824,1
Georgia,Newton,3.2058973436118907,47.196,1
Georgia,Oconee,4.5297072946474675,84.343,1
Georgia,Peach,2.161480973777007,50.358,1
Georgia,Pierce,11.77856926275645,47.412,1
Georgia,Pike,9.306644742528661,31.458,1
Georgia,Richmond,5.397613753709526,50.226,1
Georgia,Screven,4.958652568401788,37.773,1
Georgia,Sumter,2.3984318309105124,39.047,1
Georgia,Taylor,5.509350340690868,40.631,1
Georgia,Terrell,3.2145502536643185,31.468,1
Georgia,Upson,6.772339576050018,57.297,1
Georgia,Walker,6.507154961535084,41.061,1
Georgia,Washington,1.0660035817780522,70.254,1
Georgia,Wilkinson,4.366293179463819,44.853,1
Hawaii,Hawaii,3.816106857283102,67.079,1
Hawaii,Honolulu,3.832485789043172,123.833,1
Hawaii,Kauai,3.7383635883686566,59.793,1
Hawaii,Maui,3.9509547450453235,65.713,1
Idaho,Ada,1.1164554739980426,65.459,1
Idaho,Bear Lake,7.0904520168972,58.625,1
Idaho,Bingham,4.068123600584135,67.394,1
Idaho,Bonner,3.866071413251772,71.939,1
Idaho,Clark,6.096447052723961,47.891,1
Idaho,Clearwater,5.379946117269122,45.48,1
Idaho,Elmore,3.6020633441397907,36.529,1
Idaho,Franklin,5.659036256998597,56.384,1
Idaho,Latah,0.9414408663704746,55.691,1
Idaho,Lemhi,4.738791022072739,38.494,1
Idaho,Minidoka,5.1467236223585795,32.351,1
Idaho,Nez Perce,3.6037631242379047,51.488,1
Idaho,Power,3.4517076519145875,51.708,1
Idaho,Teton,1.6401397743888062,70.756,1
Idaho,Twin Falls,3.4435096370838947,47.11,1
Idaho,Washington,5.131601439446884,35.964,1
Illinois,Adams,4.808961713264509,47.782,1
Illinois,Bond,3.8007745849875714,38.008,1
Illinois,Boone,2.455745491816613,57.132,1
Illinois,Brown,3.6578176047514495,41.238,1
Illinois,Bureau,3.2512492166745006,58.032,1
Illinois,Calhoun,5.232590180780452,44.452,1
Illinois,Carroll,3.712630567534851,53.555,1
Illinois,Champaign,2.6025007109026417,69.91,1
Illinois,Clay,5.649326828660321,43.105,1
Illinois,Clinton,4.850523470477169,84.618,1
Illinois,Coles,3.4485403113323847,59.163,1
Illinois,Cook,5.605909246353229,63.628,1
Illinois,Crawford,4.969806796228274,53.516,1
Illinois,Cumberland,5.68569281651219,46.326,1
Illinois,DuPage,2.926309629231722,102.13,1
Illinois,Franklin,5.556802028189218,39.404,1
Illinois,Fulton,3.0826652200258566,49.172,1
Illinois,Hamilton,6.239020206276653,46.213,1
Illinois,Hancock,5.323486279952218,50.335,1
Illinois,Hardin,7.513623989430497,37.181,1
Illinois,Henderson,4.011649702221436,55.391,1
Illinois,Iroquois,5.5469216479358865,55.922,1
Illinois,Jefferson,4.727819024378231,64.741,1
Illinois,Johnson,5.860499513305546,41.659,1
Illinois,Kane,2.6011843612196537,73.198,1
Illinois,Kendall,1.5424940926596664,61.54,1
Illinois,Knox,1.6276016776519169,54.284,1
Illinois,LaSalle,2.607782950111764,46.429,1
Illinois,Lake,3.5097326940182993,153.79,1
Illinois,Lawrence,5.44357223084976,41.874,1
Illinois,Livingston,4.651072847470639,58.884,1
Illinois,Logan,4.080942054270615,64.299,1
Illinois,Macon,3.031901882001134,74.378,1
Illinois,Macoupin,3.9900237912915335,55.487,1
Illinois,Madison,2.2202608822526795,66.923,1
Illinois,Marion,5.302569318670935,49.129,1
Illinois,Mason,4.584293624048972,56.618,1
Illinois,Massac,5.838093296045665,42.531,1
Illinois,McHenry,0.9930111205292299,106.896,1
Illinois,Menard,4.039978783536935,53.457,1
Illinois,Mercer,3.146132252170615,56.835,1
Illinois,Monroe,3.911392322305434,63.415,1
Illinois,Montgomery,4.251319553823018,49.837,1
Illinois,Moultrie,5.289900835314177,52.185,1
Illinois,Ogle,3.204853247396735,63.802,1
Illinois,Peoria,1.576483739191328,66.043,1
Illinois,Perry,5.674383679042712,54.016,1
Illinois,Piatt,3.2639369895163184,66.427,1
Illinois,Pike,5.704113669245894,30.571,1
Illinois,Pulaski,4.439292406811105,31.895,1
Illinois,Richland,5.438417866336577,51.968,1
Illinois,Rock Island,2.304467669760582,72.012,1
Illinois,Sangamon,1.3945096991341221,114.086,1
Illinois,Scott,5.29493754791911,54.241,1
Illinois,Shelby,6.438097684596529,45.026,1
Illinois,Stephenson,2.7098376960591293,52.055,1
Illinois,Tazewell,3.208300752310713,52.732,1
Illinois,Union,4.673485146508347,52.689,1
Illinois,Vermilion,4.184708414189036,45.795,1
Illinois,Wabash,5.050175591429817,54.2,1
Illinois,Washington,5.207221093361747,71.437,1
Illinois,Wayne,6.636020246042229,36.457,1
Illinois,White,5.894740662630952,46.211,1
Illinois,Whiteside,1.9549549200674163,68.293,1
Illinois,Williamson,4.1766731183982,44.915,1
Illinois,Winnebago,1.069547220422367,70.159,1
Illinois,Woodford,4.003477152868941,78.579,1
Indiana,Adams,5.094917875030971,101.508,1
Indiana,Allen,2.2268936027817396,44.825,1
Indiana,Bartholomew,3.2611717682311627,70.164,1
Indiana,Benton,4.515280179794031,53.282,1
Indiana,Boone,2.77186638264604,82.701,1
Indiana,Carroll,5.1265076885810945,53.039,1
Indiana,Clark,3.089372723825146,56.077,1
Indiana,Clinton,4.849303870814456,48.139,1
Indiana,Crawford,4.480566001981581,47.364,1
Indiana,DeKalb,4.670558601180251,47.415,1
Indiana,Elkhart,3.995406697049482,49.042,1
Indiana,Floyd,2.570880706961645,85.155,1
Indiana,Franklin,6.627111335352891,58.682,1
Indiana,Gibson,4.927511931165231,48.294,1
Indiana,Grant,4.185387781539909,42.028,1
Indiana,Harrison,5.302438463437043,43.586,1
Indiana,Hendricks,3.1779072999461415,98.925,1
Indiana,Henry,4.630598009247895,39.501,1
Indiana,Jackson,5.187558303754826,39.698,1
Indiana,Jay,5.048614240276874,39.091,1
Indiana,Johnson,3.9905932687007377,58.136,1
Indiana,Knox,5.124066291854722,63.607,1
Indiana,Kosciusko,4.430194507764121,51.342,1
