,Unnamed: 0,state,county,candidate,party,total_votes,won,lat,lng,population,density,TOTAL,ratio
405,405,Indiana,Delaware,Donald Trump,REP,26827,True,40.1989,-85.395,87037.0,954.0,48191,0.5566807080160195
406,406,Indiana,Dubois,Donald Trump,REP,15033,True,38.3933,-86.9402,15681.0,456.0,21770,0.6905374368396876
407,407,Indiana,Elkhart,Donald Trump,REP,46972,True,41.6916,-85.9627,147679.0,739.0,74387,0.6314544207993332
408,408,Indiana,Fayette,Donald Trump,REP,7755,True,39.6582,-85.141,13096.0,658.0,10136,0.7650947119179163
409,409,Indiana,Floyd,Donald Trump,REP,23400,True,38.309,-85.8234,36730.0,918.0,41802,0.5597818286206402
410,410,Indiana,Fountain,Donald Trump,REP,6154,True,40.2874,-87.2452,3256.0,696.0,7986,0.7705985474580516
411,411,Indiana,Franklin,Donald Trump,REP,9691,True,39.4231,-85.0105,2535.0,700.0,12000,0.8075833333333333
412,412,Indiana,Fulton,Donald Trump,REP,6694,True,41.0591,-86.1959,6026.0,508.0,9147,0.7318246419591122
413,413,Indiana,Gibson,Donald Trump,REP,11817,True,38.3553,-87.5784,8716.0,663.0,16161,0.7312047521811769
414,414,Indiana,Grant,Donald Trump,REP,18543,True,40.5497,-85.6604,27730.0,682.0,27159,0.6827570970948856
415,415,Indiana,Greene,Donald Trump,REP,11103,True,39.0354,-87.1577,5293.0,638.0,14784,0.7510146103896104
416,416,Indiana,Hamilton,Donald Trump,REP,101587,True,39.965,-86.146,99130.0,779.0,193999,0.5236470291083974
417,417,Indiana,Hancock,Donald Trump,REP,28996,True,39.7937,-85.7738,22561.0,642.0,42911,0.6757241732889003
418,418,Indiana,Harrison,Donald Trump,REP,14565,True,38.213,-86.1257,3154.0,744.0,20236,0.7197568689464321
419,419,Indiana,Hendricks,Donald Trump,REP,53802,True,39.6954,-86.3716,34224.0,513.0,88505,0.6078978588780295
