State_ab,county,Labor Force,Employed,Unemployed,Unemployment Rate (%)
GA,Ben Hill,5495,5120,375,6.80
GA,Berrien,7425,7000,425,5.70
GA,Bibb,67232,62222,5010,7.50
GA,Bleckley,4509,4218,291,6.50
GA,Brantley,7018,6645,373,5.30
GA,Brooks,6745,6391,354,5.20
GA,Bryan,19103,18121,982,5.10
GA,Bulloch,37178,34769,2409,6.50
GA,Burke,9036,8391,645,7.10
GA,Butts,10844,10183,661,6.10
GA,Calhoun,2237,2122,115,5.10
GA,Camden,21106,20100,1006,4.80
GA,Candler,5732,5482,250,4.40
GA,Carroll,54696,51259,3437,6.30
GA,Catoosa,32604,31183,1421,4.40
GA,Charlton,4873,4687,186,3.80
GA,Chatham,139696,129111,10585,7.60
GA,Chattahoochee,1919,1798,121,6.30
GA,Chattooga,9754,8943,811,8.30
GA,Cherokee,135061,128633,6428,4.80
GA,Clarke,57996,54293,3703,6.40
GA,Clay,901,791,110,12.20
GA,Clayton,138704,124431,14273,10.30
GA,Clinch,2961,2846,115,3.90
GA,Cobb,412115,387938,24177,5.90
GA,Coffee,18941,17845,1096,5.80
GA,Colquitt,21863,20888,975,4.50
GA,Columbia,75307,72176,3131,4.20
GA,Cook,8099,7715,384,4.70
GA,Coweta,74415,69877,4538,6.10
GA,Crawford,5414,5139,275,5.10
GA,Crisp,9714,8841,873,9.00
GA,Dade,7784,7463,321,4.10
GA,Dawson,12665,12082,583,4.60
GA,Decatur,11320,10778,542,4.80
GA,DeKalb,393461,362325,31136,7.90
GA,Dodge,6922,6508,414,6.00
GA,Dooly,4974,4528,446,9.00
GA,Dougherty,37482,34250,3232,8.60
GA,Douglas,72409,67092,5317,7.30
GA,Early,4418,4164,254,5.70
GA,Echols,1882,1808,74,3.90
GA,Effingham,31877,30316,1561,4.90
GA,Elbert,7931,7386,545,6.90
GA,Emanuel,8568,7971,597,7.00
GA,Evans,5008,4751,257,5.10
GA,Fannin,11132,10608,524,4.70
GA,Fayette,56597,53572,3025,5.30
GA,Floyd,43126,40440,2686,6.20
GA,Forsyth,122975,117458,5517,4.50
GA,Franklin,9892,9315,577,5.80
GA,Fulton,558764,514565,44199,7.90
GA,Gilmer,12019,11460,559,4.70
GA,Glascock,1246,1196,50,4.00
GA,Glynn,38295,35722,2573,6.70
GA,Gordon,28096,26579,1517,5.40
GA,Grady,10622,10160,462,4.30
GA,Greene,7190,6774,416,5.80
GA,Gwinnett,480249,450036,30213,6.30
GA,Habersham,18721,17713,1008,5.40
GA,Hall,102326,97547,4779,4.70
GA,Hancock,2540,2317,223,8.80
GA,Haralson,12369,11651,718,5.80
GA,Harris,16845,16087,758,4.50
GA,Hart,11329,10719,610,5.40
GA,Heard,5107,4778,329,6.40
GA,Henry,116410,107965,8445,7.30
GA,Houston,70486,66812,3674,5.20
GA,Irwin,3484,3289,195,5.60
GA,Jackson,40061,38323,1738,4.30
GA,Jasper,6818,6487,331,4.90
GA,Jeff Davis,6133,5820,313,5.10
GA,Jefferson,6674,6227,447,6.70
GA,Jenkins,3189,2988,201,6.30
GA,Johnson,4001,3805,196,4.90
GA,Jones,13365,12761,604,4.50
GA,Lamar,7984,7483,501,6.30
GA,Lanier,3801,3602,199,5.20
GA,Laurens,19280,18000,1280,6.60
GA,Lee,15026,14343,683,4.50
GA,Liberty,25708,24110,1598,6.20
GA,Lincoln,3508,3320,188,5.40
GA,Long,8184,7828,356,4.30
GA,Lowndes,51492,48386,3106,6.00
GA,Lumpkin,16557,15770,787,4.80
GA,McDuffie,8550,7877,673,7.90
GA,McIntosh,5946,5611,335,5.60
GA,Macon,4653,4300,353,7.60
GA,Madison,13217,12553,664,5.00
GA,Marion,3238,3075,163,5.00
GA,Meriwether,8741,7991,750,8.60
GA,Miller,2770,2660,110,4.00
GA,Mitchell,8287,7746,541,6.50
GA,Monroe,12899,12254,645,5.00
GA,Montgomery,3831,3625,206,5.40
GA,Morgan,9222,8732,490,5.30
GA,Murray,15378,14230,1148,7.50
GA,Muscogee,77213,71219,5994,7.80
GA,Newton,52123,48448,3675,7.10
GA,Oconee,19609,18893,716,3.70
GA,Oglethorpe,6845,6522,323,4.70
GA,Paulding,86807,82242,4565,5.30
GA,Peach,11835,11102,733,6.20
GA,Pickens,15031,14319,712,4.70
GA,Pierce,8513,8129,384,4.50
GA,Pike,8697,8271,426,4.90
GA,Polk,18280,17199,1081,5.90
GA,Pulaski,3953,3767,186,4.70
GA,Putnam,8289,7756,533,6.40
GA,Quitman,795,745,50,6.30
GA,Rabun,7235,6854,381,5.30
GA,Randolph,2466,2320,146,5.90
GA,Richmond,84055,77658,6397,7.60
GA,Rockdale,43615,40322,3293,7.60
GA,Schley,2146,2054,92,4.30
GA,Screven,5047,4638,409,8.10
GA,Seminole,3096,2942,154,5.00
GA,Spalding,28339,26205,2134,7.50
GA,Stephens,10428,9767,661,6.30
GA,Stewart,2513,2373,140,5.60
GA,Sumter,12586,11651,935,7.40
GA,Talbot,2756,2570,186,6.70
GA,Taliaferro,533,495,38,7.10
GA,Tattnall,9670,9258,412,4.30
GA,Taylor,2768,2569,199,7.20
GA,Telfair,3799,3426,373,9.80
GA,Terrell,3527,3264,263,7.50
GA,Thomas,16997,15944,1053,6.20
GA,Tift,20533,19496,1037,5.10
GA,Toombs,12159,11372,787,6.50
GA,Towns,3871,3617,254,6.60
GA,Treutlen,2658,2497,161,6.10
GA,Troup,37586,34897,2689,7.20
GA,Turner,3262,3025,237,7.30
GA,Twiggs,2786,2579,207,7.40
GA,Union,10546,10087,459,4.40
GA,Upson,11367,10625,742,6.50
GA,Walker,30562,29065,1497,4.90
GA,Walton,45552,43123,2429,5.30
GA,Ware,15302,14456,846,5.50
GA,Warren,2639,2461,178,6.70
GA,Washington,6924,6483,441,6.40
GA,Wayne,11557,10916,641,5.50
GA,Webster,1015,958,57,5.60
GA,Wheeler,1611,1495,116,7.20
GA,White,16247,15545,702,4.30
GA,Whitfield,43110,40013,3097,7.20
GA,Wilcox,2754,2588,166,6.00
GA,Wilkes,3642,3397,245,6.70
GA,Wilkinson,3801,3600,201,5.30
GA,Worth,8813,8335,478,5.40
HI,Hawaii,91636,80942,10694,11.70
HI,Honolulu/city,449402,402127,47275,10.50
HI,Kauai,36330,30307,6023,16.60
HI,Maui,85122,69603,15519,18.20
ID,Ada,259488,245265,14223,5.50
ID,Adams,1776,1606,170,9.60
ID,Bannock,42314,40211,2103,5.00
ID,Bear Lake,3088,2956,132,4.30
ID,Benewah,4164,3843,321,7.70
ID,Bingham,23923,22984,939,3.90
ID,Blaine,12800,11790,1010,7.90
ID,Boise,3647,3353,294,8.10
ID,Bonner,21174,19536,1638,7.70
ID,Bonneville,58505,56095,2410,4.10
ID,Boundary,5538,5186,352,6.40
ID,Butte,1394,1343,51,3.70
ID,Camas,691,657,34,4.90
ID,Canyon,107190,100806,6384,6.00
ID,Caribou,4123,3972,151,3.70
ID,Cassia,12447,11982,465,3.70
ID,Clark,378,363,15,4.00
ID,Clearwater,3044,2787,257,8.40
ID,Custer,2239,2125,114,5.10
ID,Elmore,11910,11323,587,4.90
ID,Franklin,7182,6922,260,3.60
ID,Fremont,7922,7625,297,3.70
ID,Gem,8519,8010,509,6.00
ID,Gooding,8300,7977,323,3.90
ID,Idaho,6738,6279,459,6.80
ID,Jefferson,14201,13703,498,3.50
ID,Jerome,12174,11674,500,4.10
ID,Kootenai,81939,76149,5790,7.10
ID,Latah,19745,18787,958,4.90
ID,Lemhi,3654,3405,249,6.80
ID,Lewis,1658,1527,131,7.90
ID,Lincoln,2657,2496,161,6.10
ID,Madison,22398,21780,618,2.80
ID,Minidoka,11686,11226,460,3.90
ID,Nez Perce,20899,19861,1038,5.00
ID,Oneida,2348,2248,100,4.30
ID,Owyhee,5556,5221,335,6.00
ID,Payette,12012,11362,650,5.40
ID,Power,4139,3968,171,4.10
ID,Shoshone,5473,4963,510,9.30
ID,Teton,6701,6316,385,5.70
ID,Twin Falls,41544,39322,2222,5.30
ID,Valley,5691,5231,460,8.10
ID,Washington,4769,4505,264,5.50
IL,Adams,31139,29136,2003,6.40
IL,Alexander,1834,1644,190,10.40
IL,Bond,7396,6876,520,7.00
IL,Boone,25318,22421,2897,11.40
IL,Brown,2981,2864,117,3.90
IL,Bureau,16377,15110,1267,7.70
IL,Calhoun,2171,1999,172,7.90
IL,Carroll,7432,6892,540,7.30
IL,Cass,5810,5417,393,6.80
IL,Champaign,106836,99733,7103,6.60
IL,Christian,13498,12378,1120,8.30
IL,Clark,7285,6699,586,8.00
IL,Clay,6194,5601,593,9.60
IL,Clinton,19653,18485,1168,5.90
IL,Coles,23059,21314,1745,7.60
IL,Cook,2624052,2351173,272879,10.40
IL,Crawford,8385,7789,596,7.10
IL,Cumberland,5926,5582,344,5.80
IL,DeKalb,52854,48449,4405,8.30
IL,De Witt,6993,6523,470,6.70
IL,Douglas,9964,9391,573,5.80
IL,DuPage,503125,465172,37953,7.50
IL,Edgar,8875,8277,598,6.70
IL,Edwards,2651,2426,225,8.50
IL,Effingham,19186,17889,1297,6.80
IL,Fayette,9700,8963,737,7.60
IL,Ford,6156,5746,410,6.70
IL,Franklin,15935,14230,1705,10.70
