,state,county,candidate,party,total_votes,won,lat,lng,population,density,ln_total_votes
10740,Missouri,Monroe,Donald Trump,REP,,True,39.6542,-91.7327,2810.0,359.0,
10746,Missouri,Montgomery,Donald Trump,REP,,True,38.9737,-91.5024,2659.0,304.0,
10757,Missouri,Morgan,Donald Trump,REP,,True,38.4333,-92.8453,2983.0,494.0,
10763,Missouri,New Madrid,Donald Trump,REP,,True,36.4295,-89.6993,2959.0,559.0,
10777,Missouri,Newton,Donald Trump,REP,,True,36.8437,-94.3758,12036.0,295.0,
10796,Missouri,Nodaway,Donald Trump,REP,,True,40.3428,-94.8702,11641.0,705.0,
10813,Missouri,Oregon,Donald Trump,REP,,True,36.5223,-91.5408,2578.0,407.0,
10816,Missouri,Osage,Donald Trump,REP,,True,38.4788,-91.845,1507.0,498.0,
10822,Missouri,Ozark,Donald Trump,REP,,True,36.6063,-92.4245,584.0,78.0,
10828,Missouri,Pemiscot,Donald Trump,REP,,True,36.1814,-89.6664,5518.0,413.0,
10841,Missouri,Perry,Donald Trump,REP,,True,37.7263,-89.8759,8500.0,402.0,
10849,Missouri,Pettis,Donald Trump,REP,,True,38.7059,-93.234,21634.0,587.0,
10855,Missouri,Phelps,Donald Trump,REP,,True,37.9459,-91.7607,20273.0,645.0,
10860,Missouri,Pike,Donald Trump,REP,,True,39.3447,-91.2032,5259.0,755.0,
10870,Missouri,Platte,Donald Trump,REP,,True,39.2005,-94.7225,7122.0,185.0,
10888,Missouri,Polk,Donald Trump,REP,,True,37.6059,-93.4175,11000.0,516.0,
10896,Missouri,Pulaski,Donald Trump,REP,,True,37.7562,-92.1274,14779.0,247.0,
10902,Missouri,Putnam,Donald Trump,REP,,True,40.4757,-93.0044,1827.0,353.0,
10907,Missouri,Ralls,Donald Trump,REP,,True,39.5844,-91.3987,915.0,508.0,
10912,Missouri,Randolph,Donald Trump,REP,,True,39.4179,-92.4364,13710.0,402.0,
10920,Missouri,Ray,Donald Trump,REP,,True,39.2755,-93.9729,5622.0,352.0,
10933,Missouri,Reynolds,Donald Trump,REP,,True,37.2364,-90.9733,1380.0,364.0,
10935,Missouri,Ripley,Donald Trump,REP,,True,36.6234,-90.8219,2467.0,691.0,
10939,Missouri,St. Charles,Donald Trump,REP,,True,38.785,-90.7175,88132.0,1142.0,
10956,Missouri,St. Clair,Donald Trump,REP,,True,38.0458,-93.6972,1235.0,468.0,
10963,Missouri,Ste. Genevieve,Donald Trump,REP,,True,37.9755,-90.0477,4396.0,435.0,
10969,Missouri,St. Francois,Donald Trump,REP,,True,37.7822,-90.4282,18792.0,764.0,
10984,Missouri,St. Louis,Joe Biden,DEM,,True,38.6359,-90.2451,2144317.0,1905.0,
11083,Missouri,Saline,Donald Trump,REP,,True,39.1147,-93.201,12920.0,492.0,
11094,Missouri,Schuyler,Donald Trump,REP,,True,40.5238,-92.5314,794.0,206.0,
11099,Missouri,Scotland,Donald Trump,REP,,True,40.4613,-92.1704,1886.0,467.0,
11104,Missouri,Scott,Donald Trump,REP,,True,36.8854,-89.5877,16664.0,375.0,
11120,Missouri,Shannon,Donald Trump,REP,,True,37.0042,-91.327,1094.0,110.0,
11124,Missouri,Shelby,Donald Trump,REP,,True,39.693,-92.0396,1759.0,290.0,
11130,Missouri,Stoddard,Donald Trump,REP,,True,36.7928,-89.9632,7867.0,424.0,
11140,Missouri,Stone,Donald Trump,REP,,True,36.6441,-93.4239,2711.0,298.0,
11150,Missouri,Sullivan,Donald Trump,REP,,True,40.2031,-93.124,2429.0,528.0,
11159,Missouri,Taney,Donald Trump,REP,,True,36.6509,-93.2636,11526.0,209.0,
11168,Missouri,Texas,Donald Trump,REP,,True,37.3212,-91.961,2927.0,310.0,
11174,Missouri,Vernon,Donald Trump,REP,,True,37.8445,-94.3492,8198.0,352.0,
11186,Missouri,Warren,Donald Trump,REP,,True,38.8187,-91.1385,8388.0,363.0,
11194,Missouri,Washington,Donald Trump,REP,,True,37.9337,-90.775,2572.0,426.0,
11198,Missouri,Wayne,Donald Trump,REP,,True,37.1491,-90.697,3550.0,636.0,
11202,Missouri,Webster,Donald Trump,REP,,True,37.3424,-92.9107,7425.0,519.0,
11207,Missouri,Worth,Donald Trump,REP,,True,40.4858,-94.4135,1010.0,293.0,
11213,Missouri,Wright,Donald Trump,REP,,True,37.1341,-92.266,4703.0,452.0,
11218,Missouri,St. Louis city,Joe Biden,DEM,,True,,,,,
11219,Montana,Beaverhead,Donald Trump,REP,,True,45.218,-112.6345,4333.0,881.0,
11231,Montana,Big Horn,Joe Biden,DEM,,True,45.7422,-107.6082,3777.0,490.0,
11240,Montana,Blaine,Joe Biden,DEM,,True,48.4278,-108.6829,1520.0,12.0,
11249,Montana,Broadwater,Donald Trump,REP,,True,46.3192,-111.5197,2080.0,528.0,
11256,Montana,Carbon,Donald Trump,REP,,True,45.1933,-109.2501,2134.0,303.0,
11271,Montana,Carter,Donald Trump,REP,,True,45.8897,-104.5506,392.0,147.0,
11273,Montana,Cascade,Donald Trump,REP,,True,47.5022,-111.2996,62112.0,985.0,
11295,Montana,Chouteau,Donald Trump,REP,,True,47.8291,-110.6557,1410.0,237.0,
11305,Montana,Custer,Donald Trump,REP,,True,46.4059,-105.8385,8372.0,961.0,
11306,Montana,Daniels,Donald Trump,REP,,True,48.7904,-105.4206,1047.0,549.0,
11310,Montana,Dawson,Donald Trump,REP,,True,47.1101,-104.707,5030.0,559.0,
11315,Montana,Deer Lodge,Joe Biden,DEM,,True,46.0608,-113.0678,9153.0,4.0,
11316,Montana,Fallon,Donald Trump,REP,,True,46.364,-104.2741,1905.0,651.0,
11318,Montana,Fergus,Donald Trump,REP,,True,47.0514,-109.4524,5923.0,399.0,
11330,Montana,Flathead,Donald Trump,REP,,True,48.2153,-114.3274,23935.0,743.0,
11354,Montana,Gallatin,Joe Biden,DEM,,True,45.6833,-111.0558,48330.0,905.0,
11372,Montana,Garfield,Donald Trump,REP,,True,47.3211,-106.9098,412.0,360.5,
11373,Montana,Glacier,Joe Biden,DEM,,True,48.6344,-112.3304,3049.0,1017.0,
11384,Montana,Golden Valley,Donald Trump,REP,,True,46.2985,-109.2538,283.0,144.0,
11386,Montana,Granite,Donald Trump,REP,,True,46.3324,-113.296,937.0,425.0,
11390,Montana,Hill,Donald Trump,REP,,True,48.5427,-109.6804,9739.0,1013.0,
11408,Montana,Jefferson,Donald Trump,REP,,True,46.5257,-111.9401,2821.0,31.0,
11417,Montana,Judith Basin,Donald Trump,REP,,True,47.1521,-110.219,260.0,233.0,
11426,Montana,Lake,Donald Trump,REP,,True,47.6886,-114.1411,5033.0,428.0,
11449,Montana,Lewis and Clark,Donald Trump,REP,,True,46.5965,-112.0202,32655.0,749.0,
11466,Montana,Liberty,Donald Trump,REP,,True,48.5113,-110.9663,1076.0,853.0,
11472,Montana,Lincoln,Donald Trump,REP,,True,48.387,-115.5559,2758.0,578.0,
11486,Montana,McCone,Donald Trump,REP,,True,47.4177,-105.587,511.0,253.0,
11489,Montana,Madison,Donald Trump,REP,,True,45.4588,-112.1946,869.0,332.0,
11501,Montana,Meagher,Donald Trump,REP,,True,46.5453,-110.9039,979.0,380.0,
11503,Montana,Mineral,Donald Trump,REP,,True,47.1935,-114.892,733.0,296.0,
11511,Montana,Missoula,Joe Biden,DEM,,True,46.8751,-114.0214,93723.0,839.0,
11528,Montana,Musselshell,Donald Trump,REP,,True,46.4484,-108.5401,1723.0,514.0,
11534,Montana,Park,Donald Trump,REP,,True,45.6665,-110.5539,7696.0,526.0,
11548,Montana,Petroleum,Donald Trump,REP,,True,47.0043,-108.3466,206.0,78.0,
11549,Montana,Phillips,Donald Trump,REP,,True,48.3554,-107.8702,2058.0,744.0,
11555,Montana,Pondera,Donald Trump,REP,,True,48.1741,-111.9467,2624.0,796.0,
11565,Montana,Powder River,Donald Trump,REP,,True,45.4429,-105.4083,445.0,283.8,
11567,Montana,Powell,Donald Trump,REP,,True,46.398,-112.7334,2893.0,739.0,
11575,Montana,Prairie,Donald Trump,REP,,True,46.7921,-105.3125,549.0,271.0,
11577,Montana,Ravalli,Donald Trump,REP,,True,46.2527,-114.1598,4827.0,768.0,
11586,Montana,Richland,Donald Trump,REP,,True,47.7152,-104.1679,6351.0,746.0,
11591,Montana,Roosevelt,Donald Trump,REP,,True,48.0933,-105.6414,2739.0,1231.0,
11597,Montana,Rosebud,Donald Trump,REP,,True,45.8943,-106.628,2335.0,222.0,
11603,Montana,Sanders,Donald Trump,REP,,True,47.5993,-115.3425,1489.0,360.0,
11616,Montana,Sheridan,Donald Trump,REP,,True,48.776,-104.5574,1527.0,434.0,
11624,Montana,Silver Bow,Joe Biden,DEM,,True,45.902,-112.6571,34263.0,18.0,
11626,Montana,Stillwater,Donald Trump,REP,,True,45.636,-109.2488,1964.0,552.0,
11633,Montana,Sweet Grass,Donald Trump,REP,,True,45.8346,-109.9487,1736.0,703.0,
11635,Montana,Teton,Donald Trump,REP,,True,47.8137,-112.1794,1878.0,498.0,
11643,Montana,Toole,Donald Trump,REP,,True,48.5031,-111.8614,2875.0,191.0,
11650,Montana,Treasure,Donald Trump,REP,,True,46.2909,-107.2305,224.0,20.6,
11651,Montana,Valley,Donald Trump,REP,,True,48.199,-106.6321,3332.0,916.0,
11658,Montana,Wheatland,Donald Trump,REP,,True,46.4368,-109.8353,1031.0,636.0,
11664,Montana,Wibaux,Donald Trump,REP,,True,46.9865,-104.1899,575.0,206.0,
11665,Montana,Yellowstone,Donald Trump,REP,,True,45.7891,-108.5526,116593.0,945.0,
11677,Nebraska,Adams,Donald Trump,REP,,True,40.5961,-98.39,24878.0,644.0,
11684,Nebraska,Antelope,Donald Trump,REP,,True,42.1291,-98.03,1586.0,418.0,
11691,Nebraska,Arthur,Donald Trump,REP,,True,41.5718,-101.6923,118.0,89.1,
11692,Nebraska,Banner,Donald Trump,REP,,True,41.5505,-103.7267,75.0,4.0,
11693,Nebraska,Blaine,Donald Trump,REP,,True,41.8272,-100.1048,75.0,113.1,
11695,Nebraska,Boone,Donald Trump,REP,,True,41.6873,-97.9989,1511.0,562.0,
11701,Nebraska,Box Butte,Donald Trump,REP,,True,42.1025,-102.8766,8139.0,630.0,
11704,Nebraska,Boyd,Donald Trump,REP,,True,42.9125,-98.8479,348.0,321.0,
11711,Nebraska,Brown,Donald Trump,REP,,True,42.5485,-99.8576,1655.0,636.0,
11714,Nebraska,Buffalo,Donald Trump,REP,,True,40.7011,-99.0833,33783.0,897.0,
11726,Nebraska,Burt,Donald Trump,REP,,True,41.778,-96.2247,1727.0,424.0,
11731,Nebraska,Butler,Donald Trump,REP,,True,41.2578,-97.1282,2824.0,545.0,
11743,Nebraska,Cass,Donald Trump,REP,,True,41.0054,-95.894,6453.0,752.0,
11758,Nebraska,Cedar,Donald Trump,REP,,True,42.6205,-97.2672,1522.0,586.0,
11770,Nebraska,Chase,Donald Trump,REP,,True,40.5145,-101.6374,2163.0,276.0,
11775,Nebraska,Cherry,Donald Trump,REP,,True,42.8758,-100.5466,2768.0,405.0,
11783,Nebraska,Cheyenne,Donald Trump,REP,,True,41.1341,-102.9681,6451.0,332.0,
11790,Nebraska,Clay,Donald Trump,REP,,True,40.6072,-97.8589,1368.0,303.0,
11800,Nebraska,Colfax,Donald Trump,REP,,True,41.4497,-97.062,6269.0,888.0,
11806,Nebraska,Cuming,Donald Trump,REP,,True,41.8379,-96.7057,3282.0,446.0,
11810,Nebraska,Custer,Donald Trump,REP,,True,41.4051,-99.6408,3503.0,670.0,
11821,Nebraska,Dakota,Donald Trump,REP,,True,42.4627,-96.4125,12867.0,774.0,
11826,Nebraska,Dawes,Donald Trump,REP,,True,42.826,-103.0025,5482.0,542.0,
11829,Nebraska,Dawson,Donald Trump,REP,,True,40.7779,-99.7461,10069.0,863.0,
11837,Nebraska,Deuel,Donald Trump,REP,,True,41.0913,-102.47,820.0,450.0,
11839,Nebraska,Dixon,Donald Trump,REP,,True,42.2665,-96.8632,1375.0,499.0,
11849,Nebraska,Dodge,Donald Trump,REP,,True,41.4395,-96.4873,26362.0,953.0,
11859,Nebraska,Douglas,Joe Biden,DEM,,True,41.2627,-96.0529,791432.0,1307.0,
11867,Nebraska,Dundy,Donald Trump,REP,,True,40.0468,-101.5402,959.0,308.0,
11871,Nebraska,Fillmore,Donald Trump,REP,,True,40.5308,-97.5974,1955.0,333.0,
11879,Nebraska,Franklin,Donald Trump,REP,,True,40.0966,-98.9514,926.0,360.0,
11886,Nebraska,Frontier,Donald Trump,REP,,True,40.6336,-100.5112,843.0,271.0,
11891,Nebraska,Furnas,Donald Trump,REP,,True,40.2843,-100.1653,1285.0,371.0,
11899,Nebraska,Gage,Donald Trump,REP,,True,40.2736,-96.7455,12282.0,500.0,
11912,Nebraska,Garden,Donald Trump,REP,,True,41.408,-102.3452,936.0,537.0,
11915,Nebraska,Garfield,Donald Trump,REP,,True,41.7801,-99.1342,1215.0,447.0,
11916,Nebraska,Gosper,Donald Trump,REP,,True,40.5897,-99.8616,674.0,502.0,
11918,Nebraska,Grant,Donald Trump,REP,,True,42.0006,-101.7624,165.0,122.0,
11919,Nebraska,Greeley,Donald Trump,REP,,True,41.5483,-98.5305,425.0,260.0,
11923,Nebraska,Hall,Donald Trump,REP,,True,40.9218,-98.3586,51250.0,658.0,
11928,Nebraska,Hamilton,Donald Trump,REP,,True,40.8645,-98.0078,4523.0,539.0,
11936,Nebraska,Harlan,Donald Trump,REP,,True,40.1036,-99.3657,1410.0,473.0,
11942,Nebraska,Hayes,Donald Trump,REP,,True,40.511,-101.0204,262.0,243.8,
11944,Nebraska,Hitchcock,Donald Trump,REP,,True,40.1747,-101.0136,532.0,352.0,
11948,Nebraska,Holt,Donald Trump,REP,,True,42.461,-98.6465,3594.0,581.0,
11956,Nebraska,Hooker,Donald Trump,REP,,True,42.0427,-101.0446,457.0,427.0,
11957,Nebraska,Howard,Donald Trump,REP,,True,41.2138,-98.4596,2638.0,821.0,
11965,Nebraska,Jefferson,Donald Trump,REP,,True,40.1448,-97.1764,3657.0,556.0,
11974,Nebraska,Johnson,Donald Trump,REP,,True,40.3718,-96.1888,1818.0,464.0,
11979,Nebraska,Kearney,Donald Trump,REP,,True,40.4981,-98.9672,2906.0,509.0,
11984,Nebraska,Keith,Donald Trump,REP,,True,41.1292,-101.7211,4509.0,351.0,
11993,Nebraska,Keya Paha,Donald Trump,REP,,True,42.8249,-99.7475,227.0,132.0,
11994,Nebraska,Kimball,Donald Trump,REP,,True,41.2335,-103.6513,2276.0,424.0,
11997,Nebraska,Knox,Donald Trump,REP,,True,42.4649,-97.9071,1253.0,399.0,
12009,Nebraska,Lancaster,Joe Biden,DEM,,True,40.8099,-96.6784,280780.0,1131.0,
12029,Nebraska,Lincoln,Donald Trump,REP,,True,41.1263,-100.7641,23734.0,677.0,
12036,Nebraska,Logan,Donald Trump,REP,,True,41.4802,-100.5125,325.0,377.0,
12038,Nebraska,Loup,Donald Trump,REP,,True,41.7696,-99.3814,207.0,203.3,
12039,Nebraska,McPherson,Donald Trump,REP,,True,41.5584,-100.9536,78.0,25.0,
12040,Nebraska,Madison,Donald Trump,REP,,True,42.0324,-97.4217,24410.0,809.0,
12046,Nebraska,Merrick,Donald Trump,REP,,True,41.1134,-98.0008,2906.0,462.0,
12052,Nebraska,Morrill,Donald Trump,REP,,True,41.6639,-103.0962,1414.0,475.0,
12055,Nebraska,Nance,Donald Trump,REP,,True,41.3647,-97.9726,1569.0,464.0,
12058,Nebraska,Nemaha,Donald Trump,REP,,True,40.3894,-95.8436,3306.0,584.0,
12065,Nebraska,Nuckolls,Donald Trump,REP,,True,40.0217,-98.0618,1826.0,317.0,
12072,Nebraska,Otoe,Donald Trump,REP,,True,40.6762,-95.8613,7270.0,564.0,
12083,Nebraska,Pawnee,Donald Trump,REP,,True,40.1106,-96.153,976.0,312.0,
12089,Nebraska,Perkins,Donald Trump,REP,,True,40.8446,-101.7256,1393.0,682.0,
12093,Nebraska,Phelps,Donald Trump,REP,,True,40.4394,-99.3773,5406.0,493.0,
12098,Nebraska,Pierce,Donald Trump,REP,,True,42.199,-97.5287,1973.0,832.0,
12104,Nebraska,Platte,Donald Trump,REP,,True,41.4366,-97.3565,23291.0,870.0,
12114,Nebraska,Polk,Donald Trump,REP,,True,41.1159,-97.5912,1028.0,387.0,
12118,Nebraska,Red Willow,Donald Trump,REP,,True,40.2046,-100.6216,7555.0,534.0,
12123,Nebraska,Richardson,Donald Trump,REP,,True,40.0623,-95.5989,4139.0,478.0,
12133,Nebraska,Rock,Donald Trump,REP,,True,42.5826,-99.5367,713.0,620.0,
12135,Nebraska,Saline,Donald Trump,REP,,True,40.6253,-96.9575,7013.0,811.0,
12143,Nebraska,Sarpy,Donald Trump,REP,,True,41.1485,-95.939,63970.0,1168.0,
12155,Nebraska,Saunders,Donald Trump,REP,,True,41.2166,-96.6172,4520.0,595.0,
12171,Nebraska,Scotts Bluff,Donald Trump,REP,,True,41.8684,-103.6616,14660.0,853.0,
12181,Nebraska,Seward,Donald Trump,REP,,True,40.9099,-97.0957,7210.0,624.0,
12192,Nebraska,Sheridan,Donald Trump,REP,,True,42.8064,-102.204,1764.0,731.0,
12196,Nebraska,Sherman,Donald Trump,REP,,True,41.2766,-98.9677,1004.0,411.0,
12201,Nebraska,Sioux,Donald Trump,REP,,True,42.6879,-103.8826,288.0,184.6,
12202,Nebraska,Stanton,Donald Trump,REP,,True,41.9471,-97.2171,1847.0,410.0,
12205,Nebraska,Thayer,Donald Trump,REP,,True,40.1685,-97.5866,1654.0,432.0,
12216,Nebraska,Thomas,Donald Trump,REP,,True,41.979,-100.5746,236.0,142.5,
12219,Nebraska,Thurston,Donald Trump,REP,,True,42.1108,-96.7113,1216.0,664.0,
12225,Nebraska,Valley,Donald Trump,REP,,True,41.5993,-98.9166,2112.0,388.0,
12229,Nebraska,Washington,Donald Trump,REP,,True,41.5416,-96.1359,7830.0,548.0,
12236,Nebraska,Wayne,Donald Trump,REP,,True,42.2379,-97.0101,5603.0,769.0,
12241,Nebraska,Webster,Donald Trump,REP,,True,40.0864,-98.5222,1091.0,409.0,
12247,Nebraska,Wheeler,Donald Trump,REP,,True,41.7803,-98.6785,116.0,85.6,
12249,Nebraska,York,Donald Trump,REP,,True,40.8701,-97.5928,7810.0,461.0,
12258,Nevada,Churchill,Donald Trump,REP,,True,39.4737,-118.7779,8540.0,887.0,
12260,Nevada,Clark,Joe Biden,DEM,,True,36.2333,-115.2654,2165405.0,1754.0,
12284,Nevada,Douglas,Donald Trump,REP,,True,38.8957,-119.7492,11432.0,427.0,
12305,Nevada,Elko,Donald Trump,REP,,True,40.8381,-115.7678,20396.0,441.0,
12316,Nevada,Esmeralda,Donald Trump,REP,,True,37.6469,-118.0345,305.0,3.0,
12319,Nevada,Eureka,Donald Trump,REP,,True,40.4198,-116.5753,483.0,83.0,
12321,Nevada,Humboldt,Donald Trump,REP,,True,40.9645,-117.7247,7752.0,306.0,
12328,Nevada,Lander,Donald Trump,REP,,True,40.6299,-116.9518,3908.0,246.0,
12331,Nevada,Lincoln,Donald Trump,REP,,True,37.9519,-114.4434,1435.0,90.0,
12337,Nevada,Lyon,Donald Trump,REP,,True,39.5627,-119.1906,20616.0,65.0,
12344,Nevada,Mineral,Donald Trump,REP,,True,38.5253,-118.626,2734.0,600.0,
12348,Nevada,Nye,Donald Trump,REP,,True,36.2235,-115.9974,38390.0,45.0,
12353,Nevada,Pershing,Donald Trump,REP,,True,40.1787,-118.4775,1736.0,778.0,
12357,Nevada,Storey,Donald Trump,REP,,True,39.3074,-119.6483,661.0,294.0,
12358,Nevada,Washoe,Joe Biden,DEM,,True,39.5497,-119.8483,440547.0,890.0,
12375,Nevada,White Pine,Donald Trump,REP,,True,39.265,-114.8708,3993.0,202.0,
12381,Nevada,Carson City,Donald Trump,REP,,True,39.1511,-119.7476,55244.0,147.0,
12382,New Hampshire,Alton,Donald Trump,REP,,True,,,,,
12383,New Hampshire,Barnstead,Donald Trump,REP,,True,,,,,
12384,New Hampshire,Belmont,Donald Trump,REP,,True,,,,,
12385,New Hampshire,Center Harbor,Donald Trump,REP,,True,,,,,
12386,New Hampshire,Gilford,Donald Trump,REP,,True,,,,,
12387,New Hampshire,Gilmanton,Donald Trump,REP,,True,,,,,
12388,New Hampshire,Laconia,Donald Trump,REP,,True,,,,,
12389,New Hampshire,Meredith,Donald Trump,REP,,True,,,,,
12390,New Hampshire,New Hampton,Donald Trump,REP,,True,,,,,
12391,New Hampshire,Sanbornton,Donald Trump,REP,,True,,,,,
12392,New Hampshire,Tilton,Donald Trump,REP,,True,,,,,
12393,New Hampshire,Albany,Joe Biden,DEM,,True,,,,,
12394,New Hampshire,Bartlett,Joe Biden,DEM,,True,,,,,
12395,New Hampshire,Brookfield,Donald Trump,REP,,True,,,,,
12396,New Hampshire,Chatham,Donald Trump,REP,,True,,,,,
12397,New Hampshire,Conway,Joe Biden,DEM,,True,,,,,
12398,New Hampshire,Eaton,Joe Biden,DEM,,True,,,,,
12399,New Hampshire,Effingham,Donald Trump,REP,,True,,,,,
12400,New Hampshire,Freedom,Joe Biden,DEM,,True,,,,,
12401,New Hampshire,Harts Location,Joe Biden,DEM,,True,,,,,
12402,New Hampshire,Jackson,Joe Biden,DEM,,True,,,,,
12403,New Hampshire,Madison,Joe Biden,DEM,,True,,,,,
12404,New Hampshire,Moultonborough,Donald Trump,REP,,True,,,,,
12405,New Hampshire,Ossipee,Donald Trump,REP,,True,,,,,
12406,New Hampshire,Sandwich,Joe Biden,DEM,,True,,,,,
12407,New Hampshire,Tamworth,Joe Biden,DEM,,True,,,,,
12408,New Hampshire,Tuftonboro,Donald Trump,REP,,True,,,,,
12409,New Hampshire,Wakefield,Donald Trump,REP,,True,,,,,
12410,New Hampshire,Wolfeboro,Donald Trump,REP,,True,,,,,
12411,New Hampshire,Alstead,Joe Biden,DEM,,True,,,,,
12412,New Hampshire,Chesterfield,Joe Biden,DEM,,True,,,,,
12413,New Hampshire,Dublin,Joe Biden,DEM,,True,,,,,
12414,New Hampshire,Fitzwilliam,Donald Trump,REP,,True,,,,,
12415,New Hampshire,Gilsum,Donald Trump,REP,,True,,,,,
12416,New Hampshire,Harrisville,Joe Biden,DEM,,True,,,,,
12417,New Hampshire,Hinsdale,Joe Biden,DEM,,True,,,,,
12418,New Hampshire,Jaffrey,Joe Biden,DEM,,True,,,,,
12419,New Hampshire,Keene,Joe Biden,DEM,,True,,,,,
12420,New Hampshire,Marlborough,Joe Biden,DEM,,True,,,,,
12421,New Hampshire,Marlow,Joe Biden,DEM,,True,,,,,
12422,New Hampshire,Nelson,Joe Biden,DEM,,True,,,,,
12423,New Hampshire,Richmond,Donald Trump,REP,,True,,,,,
12424,New Hampshire,Rindge,Donald Trump,REP,,True,,,,,
12425,New Hampshire,Roxbury,Joe Biden,DEM,,True,,,,,
12426,New Hampshire,Stoddard,Donald Trump,REP,,True,,,,,
12427,New Hampshire,Sullivan,Joe Biden,DEM,,True,43.379,-72.3368,12969.0,116.0,
12428,New Hampshire,Surry,Joe Biden,DEM,,True,,,,,
12429,New Hampshire,Swanzey,Joe Biden,DEM,,True,,,,,
12430,New Hampshire,Troy,Donald Trump,REP,,True,,,,,
12431,New Hampshire,Walpole,Joe Biden,DEM,,True,,,,,
12432,New Hampshire,Westmoreland,Joe Biden,DEM,,True,,,,,
12433,New Hampshire,Winchester,Donald Trump,REP,,True,,,,,
12434,New Hampshire,Berlin,Joe Biden,DEM,,True,,,,,
12435,New Hampshire,Carroll,Donald Trump,REP,,True,44.0415,-71.1224,2410.0,136.0,
12442,New Hampshire,Clarksville,Donald Trump,REP,,True,,,,,
12443,New Hampshire,Colebrook,Donald Trump,REP,,True,,,,,
12444,New Hampshire,Columbia,Donald Trump,REP,,True,,,,,
12445,New Hampshire,Dalton,Donald Trump,REP,,True,,,,,
12446,New Hampshire,Dixville,Joe Biden,DEM,,True,,,,,
12447,New Hampshire,Dummer,Donald Trump,REP,,True,,,,,
12448,New Hampshire,Errol,Donald Trump,REP,,True,,,,,
12449,New Hampshire,Gorham,Joe Biden,DEM,,True,,,,,
12450,New Hampshire,Jefferson,Donald Trump,REP,,True,,,,,
12451,New Hampshire,Lancaster,Donald Trump,REP,,True,,,,,
12452,New Hampshire,Milan,Donald Trump,REP,,True,,,,,
12453,New Hampshire,Millsfield,Donald Trump,REP,,True,,,,,
12454,New Hampshire,Northumberland,Donald Trump,REP,,True,,,,,
12455,New Hampshire,Pittsburg,Donald Trump,REP,,True,,,,,
12456,New Hampshire,Randolph,Joe Biden,DEM,,True,,,,,
12457,New Hampshire,Shelburne,Joe Biden,DEM,,True,,,,,
12458,New Hampshire,Stark,Donald Trump,REP,,True,,,,,
12459,New Hampshire,Stewartstown,Donald Trump,REP,,True,,,,,
12460,New Hampshire,Stratford,Joe Biden,DEM,,True,,,,,
12461,New Hampshire,Wentworth's Location,Donald Trump,REP,,True,,,,,
12462,New Hampshire,Whitefield,Donald Trump,REP,,True,,,,,
12463,New Hampshire,Alexandria,Donald Trump,REP,,True,,,,,
12464,New Hampshire,Ashland,Joe Biden,DEM,,True,,,,,
12465,New Hampshire,Bath,Donald Trump,REP,,True,,,,,
12466,New Hampshire,Benton,Donald Trump,REP,,True,,,,,
12467,New Hampshire,Bethlehem,Joe Biden,DEM,,True,,,,,
12468,New Hampshire,Bridgewater,Donald Trump,REP,,True,,,,,
12469,New Hampshire,Bristol,Donald Trump,REP,,True,,,,,
12470,New Hampshire,Campton,Joe Biden,DEM,,True,,,,,
12471,New Hampshire,Canaan,Joe Biden,DEM,,True,,,,,
12472,New Hampshire,Dorchester,Donald Trump,REP,,True,,,,,
12473,New Hampshire,Easton,Joe Biden,DEM,,True,,,,,
12474,New Hampshire,Ellsworth,Joe Biden,DEM,,True,,,,,
12475,New Hampshire,Enfield,Joe Biden,DEM,,True,,,,,
12476,New Hampshire,Franconia,Joe Biden,DEM,,True,,,,,
12477,New Hampshire,Grafton,Donald Trump,REP,,True,43.6353,-72.2531,13718.0,131.0,
12482,New Hampshire,Groton,Donald Trump,REP,,True,,,,,
12483,New Hampshire,Hanover,Joe Biden,DEM,,True,,,,,
12484,New Hampshire,Haverhill,Donald Trump,REP,,True,,,,,
12485,New Hampshire,Hebron,Donald Trump,REP,,True,,,,,
12486,New Hampshire,Holderness,Joe Biden,DEM,,True,,,,,
12487,New Hampshire,Landaff,Donald Trump,REP,,True,,,,,
12488,New Hampshire,Lebanon,Joe Biden,DEM,,True,,,,,
12489,New Hampshire,Lincoln,Joe Biden,DEM,,True,,,,,
12490,New Hampshire,Lisbon,Donald Trump,REP,,True,,,,,
12491,New Hampshire,Littleton,Joe Biden,DEM,,True,,,,,
12492,New Hampshire,Lyman,Donald Trump,REP,,True,,,,,
12493,New Hampshire,Lyme,Joe Biden,DEM,,True,,,,,
12494,New Hampshire,Monroe,Donald Trump,REP,,True,,,,,
12495,New Hampshire,Orange,Donald Trump,REP,,True,,,,,
12496,New Hampshire,Orford,Joe Biden,DEM,,True,,,,,
12497,New Hampshire,Piermont,Joe Biden,DEM,,True,,,,,
12498,New Hampshire,Plymouth,Joe Biden,DEM,,True,,,,,
12499,New Hampshire,Rumney,Donald Trump,REP,,True,,,,,
12500,New Hampshire,Sugar Hill,Joe Biden,DEM,,True,,,,,
12501,New Hampshire,Thornton,Joe Biden,DEM,,True,,,,,
12502,New Hampshire,Warren,Donald Trump,REP,,True,,,,,
12503,New Hampshire,Waterville,Joe Biden,DEM,,True,,,,,
12504,New Hampshire,Wentworth,Donald Trump,REP,,True,,,,,
12505,New Hampshire,Woodstock,Joe Biden,DEM,,True,,,,,
12506,New Hampshire,Amherst,Joe Biden,DEM,,True,,,,,
