,state,county,candidate,party,total_votes,won,lat,lng,population,density,ln_total_votes
990,Florida,Union,Donald Trump,REP,799.0,True,29.933,-82.4149,301.0,121.0,2.902546779313991
992,Florida,Volusia,Donald Trump,REP,209.0,True,28.905,-81.2137,205914.0,950.0,2.3201462861110542
1016,Florida,Wakulla,Donald Trump,REP,138.0,True,30.1996,-84.3634,4113.0,347.0,2.1398790864012365
1020,Florida,Walton,Donald Trump,REP,4824.0,True,30.3854,-86.3442,8815.0,484.0,3.683407299132095
1024,Florida,Washington,Donald Trump,REP,43.0,True,30.7752,-85.5406,3590.0,326.0,1.6334684555795864
1029,Georgia,Appling,Donald Trump,REP,1424.0,True,31.7641,-82.3509,4703.0,227.0,3.1535099893008374
1032,Georgia,Atkinson,Donald Trump,REP,845.0,True,31.297,-82.8544,2017.0,232.0,2.926856708949692
1035,Georgia,Bacon,Donald Trump,REP,1137.0,True,31.5432,-82.4745,3409.0,216.0,3.0557604646877348
1037,Georgia,Baker,Donald Trump,REP,724.0,True,31.3167,-84.3379,575.0,101.0,2.859738566197147
1038,Georgia,Baldwin,Joe Biden,DEM,1091.0,True,33.0874,-83.2414,18526.0,351.0,3.037824750588342
1040,Georgia,Banks,Donald Trump,REP,1043.0,True,34.3355,-83.4986,1595.0,62.0,3.018284308426531
1042,Georgia,Barrow,Donald Trump,REP,350.0,True,33.9917,-83.7218,17054.0,481.0,2.5440680443502757
1048,Georgia,Bartow,Donald Trump,REP,1632.0,True,34.1644,-84.8009,21331.0,287.0,3.2127201544178425
1055,Georgia,Ben Hill,Donald Trump,REP,1780.0,True,31.7134,-83.2514,8747.0,376.0,3.250420002308894
1056,Georgia,Berrien,Donald Trump,REP,2177.0,True,31.2048,-83.2478,4820.0,383.0,3.3378584290410944
1060,Georgia,Bibb,Joe Biden,DEM,3628.0,True,32.8065,-83.6974,153026.0,236.0,3.5596672783880576
1061,Georgia,Bleckley,Donald Trump,REP,1778.0,True,32.3875,-83.3523,4945.0,405.0,3.249931756634195
1062,Georgia,Brantley,Donald Trump,REP,1029.0,True,31.2065,-81.9814,1135.0,155.0,3.012415374762433
1067,Georgia,Brooks,Donald Trump,REP,2553.0,True,30.7849,-83.5603,3720.0,347.0,3.40705081480425
1071,Georgia,Bryan,Donald Trump,REP,2380.0,True,31.9012,-81.3125,13250.0,217.0,3.376576957056512
1074,Georgia,Bulloch,Donald Trump,REP,3737.0,True,32.4375,-81.7751,32115.0,827.0,3.5725230978496376
1078,Georgia,Burke,Donald Trump,REP,799.0,True,33.0909,-82.0145,5453.0,384.0,2.902546779313991
1085,Georgia,Butts,Donald Trump,REP,2530.0,True,33.292,-83.9679,5138.0,326.0,3.403120521175818
1088,Georgia,Calhoun,Joe Biden,DEM,1668.0,True,31.5381,-84.6033,2067.0,609.0,3.22219604630172
1092,Georgia,Camden,Donald Trump,REP,988.0,True,30.7567,-81.5722,18321.0,309.0,2.9947569445876283
1097,Georgia,Candler,Donald Trump,REP,2124.0,True,32.3958,-82.0621,3962.0,204.0,3.3271545124094315
1099,Georgia,Carroll,Donald Trump,REP,1159.0,True,33.5818,-85.0838,26857.0,462.0,3.064083435963596
1107,Georgia,Catoosa,Donald Trump,REP,491.0,True,34.9318,-85.246,9877.0,274.0,2.6910814921229687
1111,Georgia,Charlton,Donald Trump,REP,2313.0,True,30.8392,-82.0073,4853.0,447.0,3.3641756327706194
1113,Georgia,Chatham,Joe Biden,DEM,1830.0,True,32.0286,-81.1821,284429.0,525.0,3.2624510897304293
1130,Georgia,Chattahoochee,Donald Trump,REP,1271.0,True,32.347,-84.787,10470.0,16.0,3.104145550554008
1131,Georgia,Chattooga,Donald Trump,REP,289.0,True,34.4788,-85.3491,4283.0,412.0,2.4608978427565478
1135,Georgia,Cherokee,Donald Trump,REP,2855.0,True,34.1026,-84.5091,32310.0,1000.0,3.455606112581867
1141,Georgia,Clarke,Joe Biden,DEM,253.0,True,33.9508,-83.3689,143081.0,414.0,2.403120521175818
1143,Georgia,Clay,Joe Biden,DEM,283.0,True,31.6238,-85.0528,832.0,67.0,2.45178643552429
1145,Georgia,Clayton,Joe Biden,DEM,1038.0,True,33.6209,-84.359,19884.0,824.0,3.016197353512439
1154,Georgia,Clinch,Donald Trump,REP,1782.0,True,31.0385,-82.742,1938.0,214.0,3.250907699700856
1159,Georgia,Cobb,Joe Biden,DEM,1244.0,True,33.9533,-84.5422,60687.0,999.0,3.0948203803548
1169,Georgia,Coffee,Donald Trump,REP,571.0,True,31.5065,-82.8544,11556.0,309.0,2.756636108245848
1173,Georgia,Colquitt,Donald Trump,REP,4878.0,True,31.1591,-83.7708,14086.0,326.0,3.688241795977712
1179,Georgia,Columbia,Donald Trump,REP,358.0,True,33.5619,-82.1351,38443.0,587.0,2.5538830266438746
1184,Georgia,Cook,Donald Trump,REP,255.0,True,31.1264,-83.4229,5297.0,226.0,2.406540180433955
1188,Georgia,Coweta,Donald Trump,REP,1851.0,True,33.3767,-84.7761,40227.0,801.0,3.267406418752904
1196,Georgia,Crawford,Donald Trump,REP,224.0,True,32.7196,-84.0104,1099.0,284.0,2.3502480183341627
1199,Georgia,Crisp,Donald Trump,REP,41.0,True,31.9563,-83.7694,10600.0,403.0,1.6127838567197355
1202,Georgia,Dade,Donald Trump,REP,765.0,True,34.8741,-85.5096,2303.0,276.0,2.8836614351536176
1206,Georgia,Dawson,Donald Trump,REP,136.0,True,34.4362,-84.125,3065.0,137.0,2.1335389083702174
1207,Georgia,Decatur,Donald Trump,REP,417.0,True,30.9052,-84.5732,12200.0,238.0,2.6201360549737576
1212,Georgia,DeKalb,Joe Biden,DEM,2335.0,True,33.8743,-84.3314,54727.0,1808.0,3.368286884902131
1233,Georgia,Dodge,Donald Trump,REP,6552.0,True,32.1973,-83.1714,5110.0,305.0,3.816373888752362
1238,Georgia,Dooly,Donald Trump,REP,580.0,True,32.0926,-83.7868,3610.0,251.0,2.7634279935629373
1244,Georgia,Dougherty,Joe Biden,DEM,24.0,True,31.5776,-84.1762,89323.0,509.0,1.380211241711606
1246,Georgia,Douglas,Joe Biden,DEM,565.0,True,33.7384,-84.7054,33035.0,558.0,2.7520484478194387
1249,Georgia,Early,Donald Trump,REP,899.0,True,31.3827,-84.9228,4605.0,101.0,2.9537596917332287
1253,Georgia,Echols,Donald Trump,REP,481.0,True,,,,,2.682145076373832
1254,Georgia,Effingham,Donald Trump,REP,124.0,True,32.2947,-81.2353,10187.0,403.0,2.093421685162235
1257,Georgia,Elbert,Donald Trump,REP,1874.0,True,34.1063,-82.8705,4342.0,369.0,3.2727695865517594
1260,Georgia,Emanuel,Donald Trump,REP,53.0,True,32.5866,-82.3345,7418.0,227.0,1.724275869600789
1269,Georgia,Evans,Donald Trump,REP,4237.0,True,32.1613,-81.9094,2641.0,586.0,3.6270584640009895
1273,Georgia,Fannin,Donald Trump,REP,680.0,True,34.9811,-84.3706,1536.0,394.0,2.832508912706236
1278,Georgia,Fayette,Donald Trump,REP,591.0,True,33.3942,-84.571,35844.0,550.0,2.7715874808812555
1283,Georgia,Floyd,Donald Trump,REP,1109.0,True,34.2662,-85.1863,66998.0,445.0,3.04493154614916
1288,Georgia,Forsyth,Donald Trump,REP,1065.0,True,34.2063,-84.1339,6528.0,350.0,3.0273496077747564
1289,Georgia,Franklin,Donald Trump,REP,826.0,True,34.2861,-83.1106,3009.0,354.0,2.9169800473203824
1295,Georgia,Fulton,Joe Biden,DEM,308.0,True,33.7628,-84.422,5151496.0,1419.0,2.4885507165004443
1309,Georgia,Gilmer,Donald Trump,REP,40.0,True,34.6914,-84.4839,2036.0,221.0,1.6020599913279623
1311,Georgia,Glascock,Donald Trump,REP,814.0,True,33.2334,-82.5959,904.0,340.0,2.910624404889201
1314,Georgia,Glynn,Donald Trump,REP,538.0,True,31.1449,-81.4746,16231.0,368.0,2.7307822756663893
1321,Georgia,Gordon,Donald Trump,REP,103.0,True,34.491,-84.9386,17088.0,411.0,2.012837224705172
